Date,Cup,Team 1,Team 2,Time,Score
22/01/2025,Champions League,Shakhtar Donetsk,Brest,17:45,Not started Yet
22/01/2025,Champions League,RB Leipzig,Sporting CP,17:45,Not started Yet
22/01/2025,Champions League,Celtic,Young Boys,20:00,Not started Yet
22/01/2025,Champions League,Feyenoord,FC Bayern München,20:00,Not started Yet
22/01/2025,Champions League,Milan,Girona,20:00,Not started Yet
22/01/2025,Champions League,Paris Saint Germain,Manchester City,20:00,Not started Yet
22/01/2025,Champions League,Sparta Praha,Inter,20:00,Not started Yet
22/01/2025,Champions League,Arsenal,Dinamo Zagreb,20:00,Not started Yet
22/01/2025,Champions League,Real Madrid,Salzburg,20:00,Not started Yet
22/01/2025,Europa League,Beşiktaş,Athletic Club,on play,1-1
22/01/2025,Championship,Sheffield Wednesday,Bristol City,19:45,Not started Yet
22/01/2025,Championship,Portsmouth,Stoke City,19:45,Not started Yet
22/01/2025,Championship,Leeds United,Norwich City,19:45,Not started Yet
22/01/2025,Championship,Plymouth Argyle,Burnley,20:00,Not started Yet
22/01/2025,A-League Men,Adelaide United,Auckland,Ended,2-2
22/01/2025,Saudi Pro League,Al Orubah,Al Quadisiya,Ended,0-2
22/01/2025,Saudi Pro League,Al Fateh,Damac,on play,1-1
22/01/2025,Saudi Pro League,Al Ittihad,Al Shabab,17:00,Not started Yet
